number,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary
810,Grookey,GRASS,,310,50,65,50,40,40,65,8,false
811,Thwackey,GRASS,,420,70,85,70,55,60,80,8,false
812,Rillaboom,GRASS,,530,100,125,90,60,70,85,8,false
813,Scorbunny,FIRE,,310,50,71,40,40,40,69,8,false
814,Raboot,FIRE,,420,65,86,60,55,60,94,8,false
815,Cinderace,FIRE,,530,80,116,75,65,75,119,8,false
816,Sobble,WATER,,310,50,40,40,70,40,70,8,false
817,Drizzile,WATER,,420,65,60,55,95,55,90,8,false
818,Inteleon,WATER,,530,70,85,65,125,65,120,8,false
819,Skwovet,NORMAL,,275,70,55,55,35,35,25,8,false
820,Greedent,NORMAL,,460,120,95,95,55,75,20,8,false
821,Rookidee,FLYING,,245,38,47,35,33,35,57,8,false
822,Corvisquire,FLYING,,365,68,67,55,43,55,77,8,false
823,Corviknight,FLYING,STEEL,495,98,87,105,53,85,67,8,false
824,Blipbug,BUG,,180,25,20,20,25,45,45,8,false
825,Dottler,BUG,PSYCHIC,335,50,35,80,50,90,30,8,false
826,Orbeetle,BUG,PSYCHIC,505,60,45,110,80,120,90,8,false
827,Nickit,DARK,,245,40,28,28,47,52,50,8,false
828,Thievul,DARK,,455,70,58,58,87,92,90,8,false
829,Gossifleur,GRASS,,250,40,40,60,40,60,10,8,false
830,Eldegoss,GRASS,,460,60,50,90,80,120,60,8,false
831,Wooloo,NORMAL,,270,42,40,55,40,45,48,8,false
832,Dubwool,NORMAL,,490,72,80,100,60,90,88,8,false
833,Chewtle,WATER,,284,50,64,50,38,38,44,8,false
834,Drednaw,WATER,ROCK,485,90,115,90,48,68,74,8,false
835,Yamper,ELECTRIC,,270,59,45,50,40,50,26,8,false
836,Boltund,ELECTRIC,,490,69,90,60,90,60,121,8,false
837,Rolycoly,ROCK,,240,30,40,50,40,50,30,8,false
838,Carkol,ROCK,FIRE,410,80,60,90,60,70,50,8,false
839,Coalossal,ROCK,FIRE,510,110,80,120,80,90,30,8,false
840,Applin,GRASS,DRAGON,260,40,40,80,40,40,20,8,false
841,Flapple,GRASS,DRAGON,485,70,110,80,95,60,70,8,false
842,Appletun,GRASS,DRAGON,485,110,85,80,100,80,30,8,false
843,Silicobra,GROUND,,315,52,57,75,35,50,46,8,false
844,Sandaconda,GROUND,,510,72,107,125,65,70,71,8,false
845,Cramorant,FLYING,WATER,475,70,85,55,85,95,85,8,false
846,Arrokuda,WATER,,280,41,63,40,40,30,66,8,false
847,Barraskewda,WATER,,490,61,123,60,60,50,136,8,false
848,Toxel,ELECTRIC,POISON,242,40,38,35,54,35,40,8,false
849,Toxtricity Amped Forme,ELECTRIC,POISON,502,75,98,70,114,70,75,8,false
850,Sizzlipede,FIRE,BUG,305,50,65,45,50,50,45,8,false
851,Centiskorch,FIRE,BUG,525,100,115,65,90,90,65,8,false
852,Clobbopus,FIGHTING,,310,50,68,60,50,50,32,8,false
853,Grapploct,FIGHTING,,480,80,118,90,70,80,42,8,false
854,Sinistea,GHOST,,308,40,45,45,74,54,50,8,false
855,Polteageist,GHOST,,508,60,65,65,134,114,70,8,false
856,Hatenna,PSYCHIC,,265,42,30,45,56,53,39,8,false
857,Hattrem,PSYCHIC,,370,57,40,65,86,73,49,8,false
858,Hatterene,PSYCHIC,FAIRY,510,57,90,95,136,103,29,8,false
859,Impidimp,DARK,FAIRY,265,45,45,30,55,40,50,8,false
860,Morgrem,DARK,FAIRY,370,65,60,45,75,55,70,8,false
861,Grimmsnarl,DARK,FAIRY,510,95,120,65,95,75,60,8,false
862,Obstagoon,DARK,NORMAL,520,93,90,101,60,81,95,8,false
863,Perrserker,STEEL,,440,70,110,100,50,60,50,8,false
864,Cursola,GHOST,,510,60,95,50,145,130,30,8,false
865,Sirfetch'd,FIGHTING,,507,62,135,95,68,82,65,8,false
866,Mr. Rime,ICE,PSYCHIC,520,80,85,75,110,100,70,8,false
867,Runerigus,GROUND,GHOST,483,58,95,145,50,105,30,8,false
868,Milcery,FAIRY,,270,45,40,40,50,61,34,8,false
869,Alcremie,FAIRY,,495,65,60,75,110,121,64,8,false
870,Falinks,FIGHTING,,470,65,100,100,70,60,75,8,false
871,Pincurchin,ELECTRIC,,435,48,101,95,91,85,15,8,false
872,Snom,ICE,BUG,185,30,25,35,45,30,20,8,false
873,Frosmoth,ICE,BUG,475,70,65,60,125,90,65,8,false
874,Stonjourner,ROCK,,470,100,125,135,20,20,70,8,false
875,Eiscue Ice Face,ICE,,470,75,80,110,65,90,50,8,false
876,Indeedee Male,PSYCHIC,NORMAL,475,60,65,55,105,95,95,8,false
877,Morpeko Full Belly Mode,ELECTRIC,DARK,436,58,95,58,70,58,97,8,false
878,Cufant,STEEL,,330,72,80,49,40,49,40,8,false
879,Copperajah,STEEL,,500,122,130,69,80,69,30,8,false
880,Dracozolt,ELECTRIC,DRAGON,505,90,100,90,80,70,75,8,false
881,Arctozolt,ELECTRIC,ICE,505,90,100,90,90,80,55,8,false
882,Dracovish,WATER,DRAGON,505,90,90,100,70,80,75,8,false
883,Arctovish,WATER,ICE,505,90,90,100,80,90,55,8,false
884,Duraludon,STEEL,DRAGON,535,70,95,115,120,50,85,8,false
885,Dreepy,DRAGON,GHOST,270,28,60,30,40,30,82,8,false
886,Drakloak,DRAGON,GHOST,410,68,80,50,60,50,102,8,false
887,Dragapult,DRAGON,GHOST,600,88,120,75,100,75,142,8,false
888,Zacian Hero of Many Battles,FAIRY,,670,92,130,115,80,115,138,8,true
889,Zamazenta Hero of Many Battles,FIGHTING,,670,92,130,115,80,115,138,8,true
890,Eternatus,POISON,DRAGON,690,140,85,95,145,95,130,8,true
891,Kubfu,FIGHTING,,385,60,90,60,53,50,72,8,true
892,Urshifu Single Strike Style,FIGHTING,DARK,550,100,130,100,63,60,97,8,true
893,Zarude,DARK,GRASS,600,105,120,105,70,95,105,8,true
894,Regieleki,ELECTRIC,,580,80,100,50,100,50,200,8,true
895,Regidrago,DRAGON,,580,200,100,50,100,50,80,8,true
896,Glastrier,ICE,,580,100,145,130,65,110,30,8,true
897,Spectrier,GHOST,,580,100,65,60,145,80,130,8,true
898,Calyrex,PSYCHIC,GRASS,500,100,80,80,80,80,80,8,true
